    ,name                  ,class_name  ,input_shape          ,output_shape         ,nb_params
49  ,layer2.1.conv1        ,Conv2d      ,"(-1, 512, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(65536)
50  ,layer2.1.bn1          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
51  ,layer2.1.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
52  ,layer2.1.conv2        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(147456)
53  ,layer2.1.bn2          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
54  ,layer2.1.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
55  ,layer2.1.conv3        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(65536)
56  ,layer2.1.bn3          ,BatchNorm2d ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(1024)
57  ,layer2.1.relu         ,ReLU        ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,0
58  ,layer2.1              ,Bottleneck  ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(280064)
59  ,layer2.2.conv1        ,Conv2d      ,"(-1, 512, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(65536)
60  ,layer2.2.bn1          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
61  ,layer2.2.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
62  ,layer2.2.conv2        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(147456)
63  ,layer2.2.bn2          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
64  ,layer2.2.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
65  ,layer2.2.conv3        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(65536)
66  ,layer2.2.bn3          ,BatchNorm2d ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(1024)
67  ,layer2.2.relu         ,ReLU        ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,0
68  ,layer2.2              ,Bottleneck  ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(280064)
69  ,layer2.3.conv1        ,Conv2d      ,"(-1, 512, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(65536)
70  ,layer2.3.bn1          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
71  ,layer2.3.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
72  ,layer2.3.conv2        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(147456)
73  ,layer2.3.bn2          ,BatchNorm2d ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,tensor(256)
74  ,layer2.3.relu         ,ReLU        ,"(-1, 128, 28, 28)"  ,"(-1, 128, 28, 28)"  ,0
75  ,layer2.3.conv3        ,Conv2d      ,"(-1, 128, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(65536)
76  ,layer2.3.bn3          ,BatchNorm2d ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(1024)
77  ,layer2.3.relu         ,ReLU        ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,0
78  ,layer2.3              ,Bottleneck  ,"(-1, 512, 28, 28)"  ,"(-1, 512, 28, 28)"  ,tensor(280064)
79  ,layer3.0.conv1        ,Conv2d      ,"(-1, 512, 28, 28)"  ,"(-1, 256, 28, 28)"  ,tensor(131072)
80  ,layer3.0.bn1          ,BatchNorm2d ,"(-1, 256, 28, 28)"  ,"(-1, 256, 28, 28)"  ,tensor(512)
81  ,layer3.0.relu         ,ReLU        ,"(-1, 256, 28, 28)"  ,"(-1, 256, 28, 28)"  ,0
82  ,layer3.0.conv2        ,Conv2d      ,"(-1, 256, 28, 28)"  ,"(-1, 256, 14, 14)"  ,tensor(589824)
83  ,layer3.0.bn2          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
84  ,layer3.0.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
85  ,layer3.0.conv3        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 1024, 14, 14)" ,tensor(262144)
86  ,layer3.0.bn3          ,BatchNorm2d ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(2048)
